 ROC-integ, Separation, Significance, Variables
 0.707,0.143,0.408, ptSumOther_dEtaJJMax, higgsLike_dijet_mass
 0.721,0.158,0.458, ptSumOther_dEtaJJMax, dRJJ_ptJJMax
 0.687,0.123,0.329, sum_pt, ptSumOther_ptOtherMax
 0.684,0.124,0.332, sum_pt, ptSumOther_pOtherMin
 0.685,0.119,0.331, sum_pt, ptSumOther_etaOtherMin
 0.685,0.128,0.321, sum_pt, ptSumOther_dPhiJJMax
 0.680,0.119,0.330, sum_pt, ptSumOther_pzJJMax
 0.680,0.119,0.330, sum_pt, ptSumOther_pzOtherMin
 0.686,0.119,0.329, sum_pt, ptSumOther_sumPtJJMax
 0.686,0.119,0.329, sum_pt, ptSumOther_ptSumOtherMin
 0.686,0.119,0.329, sum_pt, ptSumOther_ptLeadOtherMin
 0.673,0.114,0.332, sum_pt, ptSumOther_sumPtJJMin
 0.673,0.114,0.332, sum_pt, ptSumOther_ptSumOtherMax
 0.704,0.151,0.408, sum_pt, dEtaJJ_dEtaJJMin
 0.682,0.123,0.341, sum_pt, ptSumOther_etaJJMax
 0.676,0.123,0.335, sum_pt, ptSumOther_dEtaJJMin
 0.685,0.124,0.323, sum_pt, ptSumOther_ptJJMax
 0.724,0.168,0.458, sum_pt, higgsLike_dijet_mass2
 0.677,0.117,0.332, sum_pt, ptSumOther_etaJJMin
 0.679,0.119,0.329, sum_pt, ptSumOther_dPhiJJMin
 0.673,0.116,0.328, sum_pt, ptSumOther_dRJJMax
 0.671,0.119,0.339, sum_pt, ptSumOther_ptJJMin
 0.674,0.117,0.323, sum_pt, ptSumOther_mJJMin
 0.682,0.116,0.326, sum_pt, ptSumOther_pJJMax
 0.670,0.109,0.321, sum_pt, ptSumOther_pzJJMin
 0.670,0.109,0.321, sum_pt, ptSumOther_pzOtherMax
 0.673,0.116,0.337, sum_pt, ptSumOther_pJJMin
 0.683,0.120,0.324, sum_pt, ptSumOther_mOtherMin
 0.672,0.111,0.321, sum_pt, ptSumOther_etaOtherMax
 0.689,0.125,0.351, sum_pt, mOther_dEtaJJMax
 0.673,0.117,0.337, sum_pt, ptSumOther_ptOtherMin
